Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
13111,0.37,Premium,E,VS2,60.2,58.0,4.65,4.68,2.81,757
22683,0.27,Very Good,F,VVS2,60.8,59.0,4.17,4.19,2.54,591
2427,1.62,Very Good,J,SI2,61.6,60.0,7.52,7.64,4.67,7072
26498,0.35,Premium,J,VS1,62.2,58.0,4.49,4.54,2.81,460
11248,0.4,Ideal,F,VS2,60.6,55.0,4.82,4.78,2.91,1080
25947,1.51,Very Good,I,VVS1,62.0,58.0,7.27,7.31,4.52,11512
25910,0.51,Ideal,I,VS2,60.6,57.0,5.16,5.21,3.14,1060
2587,0.55,Ideal,F,VS1,61.9,56.0,5.25,5.29,3.26,1881
12643,2.01,Premium,J,SI2,62.4,59.0,8.05,8.1,5.04,12105
12273,1.58,Premium,J,VVS2,61.0,58.0,7.56,7.49,4.59,7592
13342,0.41,Very Good,F,VVS2,60.3,58.0,4.79,4.83,2.9,1115
24482,0.31,Very Good,E,VS1,61.2,61.0,4.29,4.37,2.65,587
20266,0.56,Ideal,G,SI1,62.5,57.0,5.26,5.23,3.28,1345
361,1.02,Very Good,F,SI2,58.7,63.0,6.49,6.46,3.8,3875
11834,0.31,Ideal,G,IF,61.2,55.0,4.4,4.42,2.7,891
6617,1.0,Good,J,VS1,,64.0,6.63,6.51,3.82,3920
7024,0.52,Ideal,G,VS1,62.1,54.0,5.14,5.17,3.2,1621
5146,1.0,Good,F,VVS2,60.7,62.0,6.36,6.4,3.87,8079
18329,0.5,Ideal,H,VS2,61.7,55.0,5.11,5.14,3.16,1626
6819,0.7,Very Good,F,VVS2,58.5,60.0,5.82,5.94,3.44,3028
2332,1.51,Very Good,E,SI1,61.8,57.0,7.36,7.43,4.57,9474
10232,0.26,Very Good,G,VVS2,62.2,56.0,4.08,4.1,2.54,426
1423,0.73,Very Good,H,VS2,60.8,56.0,5.82,5.84,3.55,2779
19974,1.19,Premium,I,SI2,62.6,58.0,6.75,6.7,4.21,4745
15566,0.82,Good,G,VS2,64.0,57.0,5.92,5.89,3.78,2805
6394,1.03,Premium,H,SI1,61.1,59.0,6.56,6.5,3.99,4603
10595,0.72,Ideal,I,VS1,61.4,58.0,5.73,5.76,3.53,2586
11297,1.01,Ideal,G,SI2,62.1,57.0,6.48,6.44,4.01,4350
13992,0.78,Very Good,F,VS2,62.2,58.0,5.86,5.9,3.66,3429
15197,0.56,Very Good,H,SI2,62.0,63.0,5.26,5.21,3.27,956
2479,0.54,Ideal,G,VVS2,61.9,55.0,5.2,5.3,3.25,1927
2844,0.41,Ideal,D,SI2,62.3,57.0,4.75,4.78,2.97,683
20863,0.73,Ideal,E,SI2,60.4,56.0,5.81,5.89,3.54,2434
17533,0.72,Very Good,H,SI1,63.0,58.0,5.68,5.71,3.59,2198
15071,0.91,Ideal,F,SI1,62.3,56.0,6.16,6.19,3.85,4267
26216,1.7,Premium,F,SI1,62.3,58.0,7.63,7.59,4.74,13766
7988,0.55,Very Good,F,SI1,59.1,59.0,5.36,5.4,3.18,1370
3086,0.53,Ideal,F,SI1,62.6,55.0,5.17,5.22,3.25,1359
26879,1.16,Very Good,G,VVS2,62.3,59.0,6.69,6.72,4.18,8361
5182,0.71,Ideal,H,VS2,61.4,57.0,5.71,5.75,3.52,2522
19220,0.5,Good,G,VS1,59.8,63.0,5.12,5.15,3.07,1645
2005,0.54,Premium,F,VS2,62.0,59.0,5.22,5.16,3.22,1989
23797,0.73,Ideal,G,SI1,60.7,56.0,5.89,5.81,3.55,2659
5946,1.03,Ideal,F,SI1,61.3,57.0,6.47,6.53,3.98,6044
5086,1.5,Very Good,F,IF,63.2,58.0,7.2,7.32,4.59,18552
2711,1.02,Fair,F,SI2,65.5,59.0,6.27,6.24,4.1,3754
21194,0.45,Premium,I,SI1,60.3,59.0,4.99,4.93,2.99,941
18465,0.56,Ideal,H,VS2,61.2,57.0,5.29,5.33,3.25,1388
14079,0.41,Very Good,I,VVS1,,57.0,4.78,4.82,2.97,863
25652,0.34,Ideal,E,VS2,62.0,56.0,4.48,4.46,2.77,829
15875,1.71,Very Good,J,VS1,61.9,59.0,7.6,7.69,4.73,10428
21125,0.63,Ideal,H,VS2,62.1,54.0,5.51,5.54,3.43,1641
15102,1.54,Premium,G,SI1,63.0,59.0,7.31,7.26,4.59,8176
25137,1.39,Very Good,E,VS1,60.9,61.0,7.15,7.19,4.37,12614
12697,0.71,Good,J,SI1,61.5,62.0,5.61,5.66,3.47,1755
3395,0.4,Very Good,G,SI1,61.6,59.0,4.66,4.72,2.89,702
21482,0.48,Ideal,I,VS1,62.2,54.0,5.03,5.06,3.14,944
25660,0.33,Ideal,E,SI1,62.4,56.0,4.43,4.41,2.76,743
1569,1.02,Very Good,D,SI2,60.9,61.0,6.47,6.53,3.96,4904
17659,1.02,Ideal,H,VS2,61.8,55.0,6.48,6.51,4.01,6065
1750,1.82,Very Good,G,SI2,61.3,58.0,7.83,7.94,4.83,11971
16584,0.37,Premium,G,VS2,61.2,60.0,4.63,4.58,2.82,833
21466,0.31,Good,G,VS1,63.2,56.0,4.29,4.32,2.72,625
6836,0.97,Very Good,I,SI2,63.4,58.0,6.34,6.2,3.98,2567
26317,0.77,Ideal,I,VVS2,62.1,57.0,5.84,5.86,3.63,2824
3591,0.3,Premium,D,SI1,62.2,61.0,4.28,4.24,2.65,709
5784,0.36,Premium,F,SI1,61.6,60.0,4.54,4.61,2.82,600
7561,0.38,Ideal,G,VVS2,61.3,56.4,4.67,4.71,2.88,929
21344,0.46,Good,F,VS1,59.9,61.9,5.02,5.06,3.01,1168
997,0.5,Very Good,E,VVS2,59.1,61.0,5.19,5.23,3.08,2106
2271,0.8,Premium,G,SI2,61.4,56.0,5.99,5.96,3.67,2451
25609,1.0,Good,F,SI1,63.7,58.0,6.29,6.34,4.02,4158
9953,0.24,Very Good,E,VVS1,60.7,60.0,4.01,4.06,2.45,485
13170,0.41,Ideal,G,VVS2,61.9,55.0,4.77,4.79,2.96,1238
6179,0.7,Premium,H,VS1,62.3,60.0,5.65,5.61,3.51,2333
13240,1.01,Premium,J,SI2,61.2,59.0,6.43,6.37,3.92,3733
19446,2.0,Good,F,SI1,62.8,62.0,8.0,8.03,5.03,18069
19706,1.05,Premium,F,VS2,62.6,58.0,6.5,6.47,4.06,7154
26679,1.45,Fair,J,SI2,58.6,68.0,7.45,7.33,4.34,4570
20066,0.31,Premium,I,SI1,61.3,58.0,4.34,4.37,2.67,408
12825,0.7,Very Good,G,VVS2,61.8,60.0,5.63,5.69,3.5,2936
3949,0.91,Ideal,H,VS1,60.8,58.0,6.27,6.32,3.83,4939
4980,0.9,Premium,D,SI2,63.0,58.0,6.16,6.12,3.87,3473
12256,0.3,Ideal,G,VS1,61.9,56.0,4.34,4.29,2.67,776
10256,0.32,Ideal,D,VS2,62.5,56.0,4.38,4.45,2.76,758
13589,0.36,Ideal,F,VS1,60.1,57.0,4.62,4.67,2.79,789
13376,0.3,Ideal,F,VS2,62.6,54.0,4.3,4.33,2.7,567
5365,0.36,Very Good,G,SI1,62.0,59.0,4.53,4.56,2.82,537
1196,0.51,Premium,D,VS2,62.0,59.0,5.12,5.08,3.16,1807
41,0.9,Good,G,SI2,63.8,59.0,6.05,6.02,3.85,3246
11555,1.11,Ideal,I,SI1,61.9,55.0,6.65,6.66,4.12,5329
7973,1.0,Good,E,VVS2,64.1,57.0,6.32,6.29,4.04,7692
13316,0.8,Premium,E,SI1,61.5,58.0,5.97,5.93,3.66,3297
9477,0.41,Ideal,E,VVS2,61.1,56.0,4.8,4.85,2.95,1187
7154,1.51,Ideal,G,VS1,62.8,56.0,7.29,7.24,4.56,13811
4413,0.44,Ideal,E,SI1,61.1,56.0,4.9,4.92,3.0,810
3071,0.34,Ideal,F,VVS2,61.8,56.0,4.47,4.49,2.77,712
2384,1.2,Premium,H,SI2,62.5,58.0,6.74,6.69,4.2,4368
11338,0.7,Very Good,F,SI1,60.0,58.0,5.75,5.79,3.46,2553
19772,0.32,Ideal,I,IF,61.4,57.0,4.39,4.44,2.71,655
9385,1.0,Premium,J,SI1,62.8,59.0,6.37,6.27,3.97,3780
23451,0.72,Very Good,G,SI2,60.6,57.0,5.79,5.86,3.53,2114
11169,0.3,Good,F,SI2,63.3,55.0,4.29,4.33,2.73,394
5615,1.02,Good,D,SI1,,61.0,6.27,6.35,4.01,5497
4829,1.53,Ideal,I,SI1,61.9,54.0,7.43,7.5,1.53,8971
8668,1.0,Premium,H,VVS2,61.4,59.0,6.49,6.45,3.97,5914
19075,1.09,Good,F,SI2,60.3,61.0,6.64,6.69,4.02,4698
23122,1.45,Very Good,F,VS2,62.6,58.0,7.12,7.2,4.48,11667
17531,0.43,Very Good,F,VS1,61.0,57.0,4.84,4.89,2.97,1056
23364,1.01,Good,D,IF,63.2,59.0,6.34,6.38,4.02,15081
10359,0.45,Good,E,SI1,63.9,57.0,4.81,4.86,3.09,829
1431,0.43,Premium,G,VS2,62.3,58.0,4.85,4.81,3.01,1113
20558,0.32,Ideal,H,VVS2,61.9,55.0,4.37,4.39,2.71,645
18699,1.23,Premium,F,SI2,61.7,58.0,6.85,6.95,4.26,4876
13224,0.4,Premium,H,VS1,62.7,59.0,4.71,4.63,2.93,938
25945,0.4,Ideal,E,VS1,62.3,56.0,4.73,4.71,2.94,1125
2981,1.52,Fair,D,SI2,56.3,61.0,7.7,7.62,4.31,7702
830,0.34,Ideal,G,SI1,61.2,57.0,4.53,4.56,2.78,507
20988,0.41,Ideal,F,VS1,61.8,56.0,4.75,4.79,2.95,1007
16499,0.31,Very Good,H,IF,61.3,55.0,4.37,4.4,2.69,778
20478,0.7,Premium,F,SI1,59.4,60.0,5.77,5.74,3.42,2239
10932,0.51,Very Good,G,VVS2,60.9,56.0,5.17,5.21,3.16,1768
25951,0.7,Very Good,F,SI1,61.3,59.0,5.68,5.74,3.5,2401
21690,0.63,Good,J,SI1,59.9,64.0,5.63,5.58,3.36,1134
1882,1.76,Ideal,F,SI2,62.6,55.0,7.69,7.64,4.8,9659
12004,0.3,Very Good,D,VS2,62.8,57.0,4.29,4.31,2.7,710
22772,0.42,Ideal,G,SI2,62.3,55.0,4.8,4.83,3.0,686
1027,1.22,Premium,H,SI2,60.7,59.0,6.91,6.87,4.18,5671
14633,1.52,Ideal,G,VS1,61.1,56.0,7.39,7.43,4.53,14787
1939,0.53,Good,J,VS2,63.8,57.0,5.1,5.12,3.26,1023
2033,0.7,Ideal,F,SI1,62.6,55.0,5.67,5.7,3.56,2410
566,1.01,Very Good,G,IF,63.0,60.0,6.31,6.35,3.99,7974
4088,0.31,Ideal,I,SI1,61.5,55.0,4.36,4.39,2.69,436
8208,2.01,Fair,I,SI2,,58.0,7.93,7.69,5.21,10711
17043,1.23,Very Good,G,SI2,61.0,63.0,6.91,6.85,4.2,4477
17938,0.28,Very Good,F,IF,59.8,56.0,4.27,4.29,2.56,787
14045,1.37,Very Good,J,SI2,60.7,60.0,7.07,7.19,4.33,5063
10444,0.34,Premium,G,VS2,62.4,59.0,4.47,4.41,2.77,765
24024,0.39,Ideal,J,VS2,61.2,56.0,4.71,4.74,2.89,642
25599,0.5,Good,F,VS2,63.6,57.0,5.03,5.07,3.21,1436
18917,0.51,Ideal,F,VS1,61.7,55.0,5.14,5.17,3.18,2085
23967,0.39,Ideal,F,VVS1,62.3,55.0,4.67,4.7,2.92,1124
24115,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2199
9121,1.09,Very Good,G,VS1,59.7,63.0,6.74,6.65,4.0,6570
2445,0.93,Premium,F,SI1,62.5,58.0,6.19,6.22,3.88,4081
678,0.31,Ideal,G,VS2,62.7,57.0,4.31,4.34,2.71,544
6874,0.9,Very Good,G,VS1,62.7,60.0,6.06,6.13,3.82,4540
18195,1.01,Premium,H,I1,58.1,59.0,6.66,6.6,0.0,3167
24327,0.3,Ideal,F,IF,61.8,56.0,4.31,4.33,2.67,886
2195,1.53,Very Good,E,VS2,61.2,60.0,7.49,7.4,4.56,14282
6012,2.25,Very Good,J,SI2,60.6,63.0,8.45,8.38,5.1,8442
19510,1.07,Ideal,J,VS2,61.6,56.3,6.55,6.59,4.04,4602
15149,1.52,Ideal,F,VS2,62.8,55.0,7.37,7.28,4.6,14038
5210,1.05,Ideal,H,SI2,61.9,56.0,6.49,6.56,4.04,4504
23238,0.43,Premium,I,IF,61.2,58.0,4.88,4.83,2.97,1129
485,1.11,Ideal,J,VS2,61.7,54.0,6.64,6.69,4.11,5051
21933,0.3,Ideal,F,VS2,62.1,53.3,4.3,4.32,2.68,601
5337,0.55,Ideal,F,VS1,61.8,55.0,5.28,5.3,3.27,2119
19432,0.59,Premium,E,VS2,62.5,56.0,5.4,5.36,3.36,2578
16828,1.5,Fair,E,SI2,66.3,60.0,7.09,7.02,4.68,10080
4005,1.29,Premium,D,SI2,59.4,62.0,7.06,6.99,4.17,6935
12289,0.42,Premium,D,SI1,62.1,59.0,4.79,4.77,2.97,1040
23472,0.3,Very Good,H,VVS1,63.0,56.0,4.24,4.27,2.68,684
2277,0.31,Ideal,D,IF,61.1,56.0,4.42,4.39,2.69,1310
4940,0.57,Ideal,E,VVS1,61.8,56.0,5.33,5.35,3.3,2739
25181,0.74,Very Good,I,VVS2,61.0,59.0,5.83,5.85,3.56,2550
20285,0.3,Premium,F,VVS2,61.6,58.0,4.28,4.35,2.66,737
25478,0.56,Ideal,E,VS2,,57.0,5.31,5.34,3.23,1819
17888,0.91,Fair,E,VVS2,,55.0,6.13,6.0,3.83,5430
16728,0.7,Ideal,I,SI1,61.9,58.0,5.67,5.7,3.52,2054
24553,0.31,Ideal,G,VVS1,60.8,56.0,4.36,4.39,2.66,816
23828,0.4,Very Good,H,VS1,62.7,56.0,4.71,4.73,2.96,807
20096,0.5,Premium,G,VS1,59.8,58.0,5.19,5.15,3.09,1746
16830,0.92,Very Good,F,SI2,59.9,60.0,6.26,6.29,3.76,3625
838,0.7,Good,D,VVS2,63.6,57.0,5.61,5.58,3.56,3312
12039,2.01,Good,G,SI1,63.1,59.0,7.98,8.03,5.05,18572
20206,1.4,Ideal,H,SI2,61.2,56.0,7.23,7.18,4.41,7213
6538,0.37,Premium,D,SI1,62.3,56.0,4.64,4.61,2.88,874
11040,0.41,Premium,I,VVS1,61.5,59.0,4.75,4.81,2.94,863
16461,1.01,Ideal,F,VS1,62.0,57.0,6.46,6.42,3.99,7887
22573,0.33,Ideal,G,VVS2,61.9,55.0,4.41,4.44,2.74,713
2032,0.74,Ideal,E,VS2,59.5,57.0,5.92,5.94,3.53,3189
7333,0.54,Ideal,G,VS1,61.3,57.0,5.25,5.28,3.23,1754
16450,0.76,Ideal,H,VS2,61.4,57.0,5.85,5.88,3.6,3038
11933,0.34,Premium,I,VVS1,61.9,58.0,4.52,4.43,2.77,803
14148,0.38,Ideal,G,SI1,,57.0,4.71,4.76,2.87,695
11603,0.7,Ideal,E,SI2,62.9,56.0,5.66,5.6,3.54,2100
20561,0.33,Ideal,G,VS2,62.3,57.0,4.43,4.4,2.75,743
1206,0.3,Premium,G,VVS1,62.6,58.0,4.29,4.27,2.68,1013
21987,0.43,Very Good,F,VVS1,61.5,56.0,4.86,4.9,3.0,1358
26824,0.71,Good,F,VVS2,58.9,61.0,5.8,5.9,3.44,2960
20227,0.42,Ideal,G,VVS1,61.4,56.0,4.81,4.83,2.96,1179
7243,1.52,Very Good,F,VS1,63.8,56.0,7.25,7.3,4.64,15819
4795,0.31,Premium,E,VVS2,61.4,58.0,4.33,4.36,2.67,816
12621,0.3,Ideal,F,VS2,62.0,55.0,4.33,4.31,2.68,776
11995,0.31,Ideal,E,VVS1,61.0,57.0,4.33,4.36,2.65,924
10965,1.05,Premium,G,VS1,61.6,58.0,6.48,6.51,4.0,6936
4437,0.37,Premium,D,VS2,61.0,59.0,4.59,4.63,2.81,876
5862,0.9,Good,H,VS1,62.4,55.0,6.09,6.16,3.82,4409
23324,0.25,Ideal,F,VS1,61.8,57.0,4.07,4.09,2.52,436
15989,0.71,Very Good,J,SI1,63.5,58.0,5.63,5.67,3.59,1917
7846,1.33,Ideal,D,VS2,62.8,56.0,7.08,7.03,4.43,11409
22376,0.38,Ideal,F,VVS1,61.0,57.0,4.66,4.69,2.85,1070
1461,1.12,Ideal,F,VVS2,60.4,56.0,6.82,6.78,4.11,10236
14438,0.57,Good,D,SI2,63.8,57.0,5.24,5.26,3.35,1262
25087,0.85,Premium,F,VVS2,61.2,60.0,6.1,6.13,3.74,4530
26112,0.51,Premium,J,VS2,61.5,58.0,5.14,5.1,3.15,1020
16741,0.75,Ideal,I,VS1,59.9,57.0,5.96,5.9,3.56,2562
18368,0.33,Premium,E,VS2,61.9,58.0,4.47,4.42,2.75,804
26325,0.43,Ideal,G,VS1,61.3,57.0,4.85,4.88,2.98,943
11468,0.7,Very Good,E,SI2,,59.0,5.7,5.74,3.52,2464
18935,1.5,Premium,H,SI1,61.8,60.0,7.31,7.23,4.49,10567
319,0.9,Very Good,D,SI1,62.5,59.0,6.11,6.15,3.83,4579
9847,0.71,Ideal,F,SI1,62.5,57.0,5.68,5.74,3.57,2262
4513,0.32,Ideal,F,VS1,61.5,56.0,4.4,4.44,2.72,639
17559,1.51,Very Good,F,VS2,,63.0,7.35,7.26,4.52,13945
18679,0.41,Very Good,F,SI1,62.9,56.0,4.71,4.73,2.97,755
23293,0.33,Ideal,H,VS1,61.8,56.0,4.41,4.46,2.74,579
2770,1.51,Very Good,H,VVS2,63.1,59.0,7.28,7.26,4.59,11934
25198,1.07,Premium,H,VS2,58.9,58.0,6.7,6.65,3.93,4830
10088,0.81,Ideal,F,VS1,61.8,55.0,5.97,6.03,3.71,4270
15786,0.7,Fair,H,VS2,64.9,56.0,5.49,5.51,3.57,1981
16236,1.14,Ideal,I,SI1,60.8,58.0,6.71,6.74,4.09,5096
20136,0.32,Very Good,H,VVS2,60.2,60.0,4.45,4.48,2.69,645
22027,0.31,Premium,H,VS2,62.2,59.0,4.38,4.34,2.71,628
25443,0.4,Premium,D,VVS2,60.7,60.0,4.74,4.78,2.89,1263
6831,2.13,Very Good,G,SI2,61.5,57.0,8.27,8.34,5.11,15454
14221,1.1,Good,F,SI2,,61.0,6.61,6.67,4.02,4674
21816,1.28,Premium,H,SI2,62.5,62.0,6.89,6.84,4.3,5161
23341,0.91,Very Good,H,VS1,59.4,63.0,6.32,6.28,3.74,4670
10207,0.36,Good,H,SI1,63.6,57.0,4.53,4.49,2.87,665
13185,0.32,Ideal,E,SI2,62.7,55.0,4.42,4.39,2.76,576
1383,1.29,Ideal,J,SI1,61.6,57.0,7.0,7.06,4.33,5237
982,1.01,Ideal,D,SI2,61.6,57.0,6.42,6.46,3.97,4916
16613,1.37,Ideal,F,VS1,59.6,57.0,7.28,7.22,4.32,11649
20677,1.21,Ideal,F,VS2,62.4,59.0,6.82,6.77,4.24,8691
5967,0.33,Premium,E,SI1,60.9,58.0,4.46,4.5,2.73,579
24520,0.36,Good,E,SI2,63.7,54.0,4.55,4.52,2.89,648
1950,0.55,Premium,F,VS2,59.0,58.0,5.38,5.33,3.16,1931
14374,0.38,Ideal,E,VVS1,62.6,56.0,4.64,4.6,2.89,1327
5264,0.75,Premium,G,VVS2,62.5,56.0,5.84,5.78,3.63,3486
3227,0.3,Ideal,F,SI1,61.9,56.0,4.3,4.32,2.67,475
7516,0.38,Ideal,E,VVS1,61.9,53.7,4.66,4.67,2.89,1245
449,1.52,Premium,H,SI2,62.6,60.0,7.34,7.3,4.58,6086
6744,0.62,Ideal,G,IF,61.8,56.0,5.45,5.48,3.38,3310
21633,0.51,Premium,I,SI1,62.7,59.0,5.09,5.06,3.18,1080
21808,1.61,Ideal,F,VS2,62.9,56.0,7.52,7.46,4.71,15426
23661,0.3,Ideal,G,IF,62.6,54.0,4.3,4.33,2.7,826
19794,1.18,Premium,I,SI2,60.8,58.0,6.84,6.78,4.14,4579
11564,0.31,Very Good,H,VS2,63.0,57.0,4.32,4.34,2.73,489
26068,0.3,Premium,F,VS2,61.5,60.0,4.29,4.26,2.63,776
11090,1.24,Premium,F,SI1,61.6,59.0,6.86,6.9,4.24,6874
15361,1.03,Ideal,F,IF,61.3,56.0,6.53,6.55,4.01,11365
14869,0.54,Ideal,F,VS2,61.3,57.0,5.28,5.25,3.23,1572
6217,0.55,Ideal,F,VS2,61.2,55.0,5.28,5.3,3.24,1580
12929,0.72,Very Good,H,VS1,60.6,63.0,5.83,5.76,3.51,2782
22834,1.5,Very Good,H,VS2,61.6,55.0,7.37,7.43,4.56,10558
13452,1.22,Premium,G,SI2,61.6,62.0,6.79,6.75,4.17,5226
15239,0.33,Very Good,I,SI1,63.2,58.0,4.38,4.36,2.76,572
15031,0.54,Very Good,H,VS2,62.6,58.0,5.16,5.19,3.24,1338
10063,1.12,Fair,I,SI2,64.6,57.0,6.5,6.47,4.19,3669
25600,1.0,Premium,F,SI1,59.8,59.0,6.55,6.49,3.9,5151
